Image,Matches,MeanDist,Time/Size
1,0.7021,0.2128,0.501
2,0.6897,0.2109,0.47
3,0.7358,0.1877,0.416
4,0.5405,0.1727,0.385
5,0.625,0.2168,0.378
6,0.3182,0.2443,0.401
7,0.6452,0.2072,0.291
8,0.7576,0.1993,0.293
9,0.7143,0.1661,0.274
10,0.6341,0.1953,0.222
11,0.7297,0.1748,0.208
12,0.7581,0.1782,0.191
13,0.44,0.2104,0.349
14,0.5909,0.207,0.212
15,0.8372,0.1771,0.507
16,0.6923,0.2157,0.26
17,0.6923,0.2157,0.26
18,0.7372,0.1616,0.316
19,0.3333,0.1956,0.393
20,0.2903,0.1882,0.432
21,0.3333,0.2281,0.386
22,0.5429,0.1819,0.339
23,0.5,0.2089,0.332
24,0.6111,0.1951,0.324
25,0.6739,0.1907,0.316
26,0.7381,0.2161,0.393
27,0.5909,0.1978,0.37
28,0.6,0.1834,0.447
29,0.5172,0.2177,0.493
30,0.5,0.2258,0.27
31,0.4091,0.2149,0.393
32,0.4091,0.2149,0.393
33,0.3182,0.1822,0.362
34,0.3182,0.1822,0.362
35,0.3182,0.1822,0.362
36,0.44,0.2436,0.355
37,0.5,0.2606,0.355
38,0.4375,0.3595,0.17
39,0.6071,0.3627,0.154
40,0.6071,0.3627,0.154
41,0.6071,0.3627,0.154
42,0.2857,0.2184,0.455
43,0.2857,0.2184,0.455
44,0.2857,0.2184,0.455
45,0.2857,0.2184,0.455
46,0.5714,0.2037,0.316
47,0.6486,0.1963,0.324
48,0.3462,0.2153,0.463
49,0.3462,0.2153,0.463
50,0.625,0.2306,0.347
51,0.6296,0.1988,0.378
52,0.6296,0.1988,0.378
53,0.6296,0.1988,0.378
54,0.6296,0.1988,0.378
55,0.5238,0.2099,0.335
56,0.6296,0.1704,0.337
57,0.6038,0.1958,0.287
58,0.6571,0.2346,0.318
59,0.6571,0.2346,0.318
60,0.4,0.2454,0.416
61,0.6571,0.1897,0.235
62,0.8065,0.1949,0.364
63,0.8065,0.1949,0.364
64,0.5909,0.1937,0.478
65,0.7,0.185,0.439
66,0.5926,0.2012,0.386
67,0.7963,0.1837,0.517
68,0.6,0.2116,0.252
69,0.6176,0.1753,0.432
70,0.4222,0.2331,0.239
71,0.2826,0.2366,0.47
72,0.4545,0.249,0.239
73,0.3235,0.2377,0.385
74,0.4828,0.279,0.224
75,0.4348,0.2247,0.224
76,0.5072,0.1817,0.254
77,0.3429,0.2309,0.316
78,0.6667,0.2084,0.278
79,0.375,0.2243,0.424
80,0.5526,0.2183,0.339
81,0.6857,0.2,0.355
82,0.6667,0.2065,0.308
83,0.6716,0.1736,0.401
84,0.6316,0.2308,0.278
85,0.6129,0.1965,0.308
86,0.6207,0.2408,0.278
87,0.5,0.2339,0.239
88,0.375,0.3198,0.262
89,0.5238,0.2421,0.339
90,0.625,0.2188,0.27
91,0.5405,0.2115,0.231
92,0.6957,0.2154,0.308
93,0.4231,0.1646,0.262
94,0.3871,0.1911,0.355
95,0.3913,0.2447,0.278
96,0.3636,0.293,0.27
97,0.5185,0.2061,0.316
98,0.5484,0.1935,0.301
99,0.5217,0.2053,0.432
100,0.5263,0.1987,0.339
101,0.5185,0.1942,0.308
102,0.4615,0.2333,0.301
103,0.4615,0.2333,0.301
104,0.4615,0.2333,0.301
105,0.4615,0.2333,0.301
106,0.4615,0.2333,0.301
107,0.4615,0.2333,0.301
108,0.4615,0.2333,0.301
109,0.4615,0.2333,0.301
110,0.4615,0.2333,0.301
111,0.4615,0.2333,0.301
112,0.4615,0.2333,0.301
113,0.4615,0.2333,0.301
114,0.4615,0.2333,0.301
115,0.4615,0.2333,0.301
116,0.4615,0.2333,0.301
117,0.4615,0.2333,0.301
118,0.4615,0.2333,0.301
119,0.4615,0.2333,0.301
120,0.4615,0.2333,0.301
