Matches,MeanDist,Size,Time
0.2286,0.0362,1228800,0.5094
0.3529,0.0657,1228800,0.4443
0.3704,0.0601,1228800,0.4163
0.4737,0.0462,1228800,0.3843
0.2857,0.0452,1228800,0.5504
0.3429,0.1819,1228800,0.1791
0.4839,0.0964,1228800,0.3693
0.3846,0.0365,1228800,0.4893
,,1228800,0.4743
,,1228800,0.3923
0.3871,0.0475,1228800,0.4783
,,1228800,0.2752
0.5,0.0594,1228800,0.3703
0.2195,0.1757,1228800,0.2382
0.225,0.0976,1228800,0.2101
0.1807,0.0323,1228800,0.2041
0.5455,0.1092,1228800,0.3663
0.3188,0.0665,1228800,0.2051
0.2549,0.2002,1228800,0.2041
0.4595,0.3322,1228800,0.1621
0.18,0.0532,1228800,0.2172
0.2041,0.0748,1228800,0.2342
0.7944,0.0827,1116160,0.1911
0.6106,0.1661,849920,0.1131
,,217352,0.1301
0.3051,0.0328,1228800,0.2001
0.1923,0.1558,1228800,0.2582
0.375,0.1447,1228800,0.3512
0.425,0.0501,1228800,0.3242
,,1228800,0.2081
,,1228800,0.6034
,,1228800,0.4853
,,1228800,0.9126
,,1228800,0.6925
0.3385,0.0415,1228800,0.3773
0.5,0.053,1445120,0.4343
,,1228800,0.7475
,,1228800,0.6516
0.2647,0.0468,1228800,0.3527
0.4731,0.0708,1228800,0.3367
0.2059,0.0945,1228800,0.3718
0.35,0.0344,951040,0.4653
0.2667,0.0552,1228800,0.3968
0.4082,0.0349,1228800,0.7095
,,1228800,0.7991
0.4118,0.0622,1228800,0.3613
0.25,0.0483,1228800,0.3397
0.4526,0.0675,1228800,0.3202
0.5526,0.0765,1228800,0.4613
0.3088,0.0987,1228800,0.703
0.3125,0.0474,1228800,0.4388
0.6476,0.0656,1228800,0.6004
,,1228800,0.7966
,,1228800,0.4193
0.2857,0.0742,1228800,0.4503
,,1228800,0.3903
0.5345,0.0456,1228800,0.4513
0.901,0.0416,1228800,0.2352
0.35,0.0892,1228800,0.3843
0.3333,0.0839,1228800,0.3242
0.4186,0.0527,1228800,0.5224
0.4167,0.0663,915200,0.2902
,,1228800,0.639
0.3,0.0844,921600,0.2066
,,1228800,0.697
0.4861,0.0539,1228800,0.3267
0.2273,0.1206,1228800,0.6515
0.4091,0.0901,1228800,0.8081
0.1667,0.1273,1228800,0.4678
0.4624,0.0536,1228800,0.3843
0.4477,0.0794,1228800,0.5539
,,1228800,0.4908
0.2985,0.0767,1228800,0.643
,,1228800,0.2807
,,1228800,0.346
0.48,0.0577,1228800,0.3512
0.2712,0.0908,1228800,0.7675
,,1228800,0.5439
,,1228800,0.2552
0.2717,0.0767,718080,0.3718
0.038,0.1079,1228800,0.2282
,,1358080,0.2332
0.5769,0.095,1228800,0.4153
0.3235,0.0822,1228800,0.2797
,,1450240,0.8261
,,1228800,0.4928
0.6825,0.068,1228800,0.4068
,,1355520,0.4178
0.3047,0.1024,1600000,0.9892
,,1076480,0.4118
0.5854,0.0676,1228800,0.4893
0.3684,0.0641,1228800,0.3683
,,1228800,0.5189
,,1228800,0.5239
0.2388,0.1068,1228800,0.3808
0.5479,0.0991,1228800,0.4053
0.6327,0.1044,1228800,0.4118
,,995328,0.2817
0.3295,0.0828,76800,0.021
0.3023,0.1476,169050,0.037
,,1228800,0.1826
,,1228800,0.2142
0.5806,0.065,1228800,0.2477
,,307200,0.2342
0.3,0.1208,1228800,0.5789
,,1228800,0.3467
0.6111,0.0619,1228800,0.3072
,,1228800,0.4098
0.5349,0.0478,1228800,0.6194
0.3659,0.1031,1228800,0.4273
,,1228800,0.1481
,,1228800,0.2096
,,49152,0.0095
,,1228800,0.6134
,,1228800,0.9797
,,1228800,1.4235
,,1228800,0.6955
,,1228800,0.8806
0.375,0.0685,1228800,0.3813
0.2927,0.065,921600,0.1902
